rep	gen	x	y	s	h	freq
0	200	0	6	0.00178434	0.184289	1
0	200	0	6	0.0166771	0.228607	1
0	200	0	6	0.00283078	0.322006	1
0	200	0	6	0.0466416	0.523554	0.00819672
0	200	0	6	0.0253181	0.288334	0.172131
0	200	0	6	0.0758052	0.283279	0.0163934
0	200	0	6	0.0699464	0.459858	0.0327869
0	200	0	6	0.00344452	0.149821	0.0163934
0	200	0	6	0.0306745	0.0977822	0.295082
0	200	0	6	0.0027167	0.354621	0.00819672
0	200	0	6	0.0661075	0.349466	0.0245902
0	200	0	6	0.0167594	0.859954	0.819672
0	200	0	6	0.0391086	0.724321	0.00819672
0	200	0	6	0.0123299	0.454268	0.0245902
0	200	0	6	0.0458197	0.534304	0.00819672
0	200	0	6	0.00727124	0.0908353	0.00819672
0	200	0	6	0.0206565	0.64991	0.147541
0	200	0	6	0.0241783	0.716569	0.0491803
0	200	0	6	0.0168876	0.0326702	0.237705
0	200	0	6	0.00762728	0.287832	0.295082
0	200	0	6	0.0109621	0.266171	0.00819672
0	200	0	6	0.00780378	0.46991	0.532787
0	200	0	6	0.0810556	0.255214	0.057377
0	200	0	6	0.114008	0.0276005	0.221311
0	200	0	6	0.0183824	0.084087	0.057377
0	200	0	6	0.0292151	0.508248	0.00819672
0	200	0	6	0.0170452	0.536605	0.147541
0	200	0	7	0.00683124	0.267468	0.0581395
0	200	0	7	0.0161426	0.120742	0.825581
0	200	0	7	0.0280815	0.705984	0.0232558
0	200	0	7	0.0032477	0.888137	1
0	200	0	7	0.0123756	0.175187	0.0348837
0	200	0	7	0.0300964	0.12656	0.22093
0	200	0	7	0.016752	0.528383	0.174419
0	200	0	7	0.0265419	0.506213	0.0581395
0	200	0	7	0.0376951	0.227687	0.0116279
0	200	0	7	0.0145948	0.65686	0.0930233
0	200	0	7	0.122107	0.0853624	0.0116279
0	200	0	7	0.00753979	0.848137	1
0	200	0	7	0.00749733	0.934937	0.197674
0	200	0	7	0.284299	0.0244656	0.127907
0	200	0	7	0.0191964	0.393307	0.0116279
0	200	0	7	0.0793195	0.0984778	0.127907
0	200	0	7	0.0424262	0.267922	0.0581395
0	200	0	7	0.0832594	0.46912	0.0581395
0	200	0	7	0.00169382	0.408961	0.627907
0	200	0	7	0.0207004	0.417718	0.0232558
0	200	0	7	0.00104713	0.370121	0.0348837
0	200	0	7	0.0108855	0.238883	0.267442
0	200	0	8	0.115033	0.0551067	0.136364
0	200	0	8	0.0048626	0.835912	1
0	200	0	8	0.0176887	0.167707	0.00909091
0	200	0	8	0.00327531	0.9463	0.218182
0	200	0	8	0.0524657	0.405408	0.181818
0	200	0	8	0.059936	0.429613	0.00909091
0	200	0	8	0.0915866	0.0113761	0.0363636
0	200	0	8	0.015673	0.236645	0.0181818
0	200	0	8	0.0435311	0.0808147	0.0181818
0	200	0	8	0.0600144	0.412668	0.0909091
0	200	0	8	0.0141031	0.017337	1
0	200	0	8	0.0324285	0.413669	0.0363636
0	200	0	8	0.014761	0.38528	0.0454545
