rep	gen	x	y	Nf	Nm	W	Wstd	Homoz	Hstd	DelMut	DelMutSd
0	100	1	1	25	23	0.436477	0.0602879	0.6375	0.035203	56.1042	5.94152
0	110	0	0	27	30	0.440131	0.0811081	0.650386	0.0996009	54.7368	5.81144
0	110	0	1	23	25	0.503163	0.0487869	0.625833	0.0273613	51.1667	5.39418
0	110	1	0	23	19	0.567723	0.0553974	0.661476	0.0244445	46.5	5.32849
0	110	1	1	19	21	0.416408	0.0657286	0.6222	0.119213	62.725	5.63909
0	120	0	0	25	28	0.43041	0.0488478	0.671585	0.0441222	56.2075	5.32477
0	120	0	1	21	20	0.427679	0.0594429	0.673951	0.0334737	55.9268	7.27304
0	120	1	0	25	22	0.530113	0.0760968	0.692	0.0357818	51.617	6.67658
0	120	1	1	22	36	0.461151	0.0560641	0.662552	0.0266828	60.6034	5.96235
0	130	0	0	28	26	0.404481	0.0599526	0.654148	0.0514153	59.2037	4.98657
0	130	0	1	22	26	0.386009	0.0587217	0.704708	0.0284385	60.9583	6.41599
0	130	1	0	32	25	0.49686	0.0564454	0.725789	0.0298433	50.2456	5.5985
0	130	1	1	27	14	0.461465	0.0800042	0.618341	0.0373563	63.8293	6.83928
0	140	0	0	25	28	0.341608	0.0525699	0.60634	0.032943	66.5472	6.66607
0	140	0	1	14	32	0.347912	0.0519711	0.736565	0.0272466	66.5	6.69117
0	140	1	0	26	18	0.480512	0.0667744	0.749182	0.0203975	51.2955	5.27679
0	140	1	1	21	29	0.472712	0.0610939	0.65792	0.0171859	63.64	6.4242
0	150	0	0	29	25	0.396423	0.0518416	0.589185	0.0370615	66.5556	6.47979
0	150	0	1	23	26	0.388245	0.0656495	0.73302	0.110244	64.8571	7.09987
0	150	1	0	28	28	0.451367	0.0576849	0.757071	0.0356109	57.8036	6.24906
0	150	1	1	28	18	0.421397	0.0483306	0.706087	0.0300925	65.6304	6.29133
0	160	0	0	28	22	0.389386	0.0618652	0.607	0.0223473	72.14	6.02332
0	160	0	1	18	25	0.419496	0.0829995	0.723442	0.0271852	60.6512	7.27494
0	160	1	0	30	26	0.422127	0.0589333	0.790643	0.0266381	59.6071	5.44347
0	160	1	1	27	23	0.360814	0.0544633	0.73972	0.0237958	68.2	6.18061
0	170	0	0	27	23	0.394813	0.0389739	0.66964	0.0346888	70.86	6.61516
0	170	0	1	26	15	0.439469	0.055609	0.752	0.017823	59.9024	4.63184
0	170	1	0	32	21	0.399083	0.0550946	0.802755	0.0194033	62.6415	3.91945
